maxvalues: 0.9832233786582947, maxindices: 1, MiddleTime: 61.06666666666667, subject:1, outputs: [0.9832234 0.0167767]
maxvalues: 0.9837770462036133, maxindices: 1, MiddleTime: 62.666666666666664, subject:1, outputs: [0.98377705 0.01622291]
maxvalues: 0.9832233786582947, maxindices: 1, MiddleTime: 61.06666666666667, subject:1, outputs: [0.9832234 0.0167767]
maxvalues: 0.9837770462036133, maxindices: 1, MiddleTime: 62.666666666666664, subject:1, outputs: [0.98377705 0.01622291]
maxvalues: 0.9832233786582947, maxindices: 1, MiddleTime: 61.06666666666667, subject:1, outputs: [0.9832234 0.0167767]
maxvalues: 0.9837770462036133, maxindices: 1, MiddleTime: 62.666666666666664, subject:1, outputs: [0.98377705 0.01622291]
maxvalues: 0.9832233786582947, maxindices: 1, MiddleTime: 61.06666666666667, subject:1, outputs: [0.9832234 0.0167767]
maxvalues: 0.9837770462036133, maxindices: 1, MiddleTime: 62.666666666666664, subject:1, outputs: [0.98377705 0.01622291]
maxvalues: 0.9840273857116699, maxindices: 1, MiddleTime: 13.466666666666667, subject:1, outputs: [0.9840274  0.01597261]
maxvalues: 0.9854279160499573, maxindices: 1, MiddleTime: 15.066666666666666, subject:1, outputs: [0.9854279  0.01457213]
maxvalues: 0.9858958125114441, maxindices: 1, MiddleTime: 17.666666666666668, subject:1, outputs: [0.9858958  0.01410412]
maxvalues: 0.9862026572227478, maxindices: 1, MiddleTime: 38.86666666666667, subject:1, outputs: [0.98620266 0.01379743]
maxvalues: 0.9829325675964355, maxindices: 1, MiddleTime: 41.86666666666667, subject:1, outputs: [0.98293257 0.01706747]
maxvalues: 0.9894223809242249, maxindices: 1, MiddleTime: 59.666666666666664, subject:1, outputs: [0.9894224  0.01057764]
maxvalues: 0.9892112016677856, maxindices: 1, MiddleTime: 61.266666666666666, subject:1, outputs: [0.9892112  0.01078877]
maxvalues: 0.990060567855835, maxindices: 1, MiddleTime: 62.86666666666667, subject:1, outputs: [0.99006057 0.00993938]
maxvalues: 0.9866654276847839, maxindices: 1, MiddleTime: 64.46666666666667, subject:1, outputs: [0.9866654  0.01333453]
maxvalues: 0.9848706126213074, maxindices: 1, MiddleTime: 66.06666666666666, subject:1, outputs: [0.9848706  0.01512931]
maxvalues: 0.9808298349380493, maxindices: 1, MiddleTime: 67.86666666666666, subject:1, outputs: [0.98082983 0.0191702 ]
maxvalues: 0.9825598001480103, maxindices: 1, MiddleTime: 77.66666666666667, subject:1, outputs: [0.9825598  0.01744019]
